uniprot_domain_id	uniprot_id	pfam_name	alignment_def	hmm_accession	hmm_name	hmm_type	hmm_clan_accession	hmm_clan_name
17074	O75027	ABC_tran	488:637	PF00005.22	ABC_tran	Domain	CL0023	P-loop_NTPase
17075	Q9Y2D9	zf-H2C2_2+zf-H2C2_2	371:394,429:452	PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2	Domain,Domain	CL0361,CL0361	C2H2-zf,C2H2-zf
17076	Q9Y2D9	zf-H2C2_2	455:478	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
17077	Q14524	Ion_trans	159:412	PF00520.26	Ion_trans	Family	CL0030	Ion_channel
17078	Q14524	DUF3451	462:668	PF11933.3	DUF3451	Family	\N	\N
17079	Q14524	Ion_trans	753:937	PF00520.26	Ion_trans	Family	CL0030	Ion_channel
17080	Q14524	\Na_trans_assoc	953:1215	PF06512.8	\Na_trans_assoc	Family	\N	\N
17081	Q14524	Ion_trans	1241:1469,1563:1771	PF00520.26,PF00520.26	Ion_trans,Ion_trans	Family,Family	CL0030,CL0030	Ion_channel,Ion_channel
17082	Q9C0D2	ALMS_motif	2476:2599	PF15309.1	ALMS_motif	Family	\N	\N
17083	Q8WXF5	Crystall	7:88	PF00030.14	Crystall	Domain	CL0333	gCrystallin
17084	Q8WXF5	Crystall	97:136	PF00030.14	Crystall	Domain	CL0333	gCrystallin
17085	P57076	DUF2870	188:285	PF11069.3	DUF2870	Family	\N	\N
17086	Q9P0J7	ZZ	4:47	PF00569.12	ZZ	Domain	CL0006	C1
17087	Q9P0J7	zf-Di19	76:137	PF05605.7	zf-Di19	Domain	CL0361	C2H2-zf
17088	Q96KR1	zf-met	332:355	PF12874.2	zf-met	Domain	CL0361	C2H2-zf
17089	Q96KR1	zf-met	383:406	PF12874.2	zf-met	Domain	CL0361	C2H2-zf
17090	Q96KR1	zf-met	582:606	PF12874.2	zf-met	Domain	CL0361	C2H2-zf
17091	Q96KR1	DZF	790:1036	PF07528.9	DZF	Domain	CL0260	\NTP_transf
17092	P81277	Prolactin_RP	23:69	PF15172.1	Prolactin_RP	Family	\N	\N
17093	Q9Y615	Actin	69:435	PF00022.14	Actin	Family	CL0108	Actin_ATPase
17094	Q969N2	Gpi16	28:248	PF04113.9	Gpi16	Family	\N	\N
17095	Q969N2	Gpi16	253:555	PF04113.9	Gpi16	Family	\N	\N
17096	Q7Z419	IBR	103:166	PF01485.16	IBR	Family	\N	\N
17097	Q7Z419	IBR	188:225	PF01485.16	IBR	Family	\N	\N
17098	Q86UV6	zf-C3HC4	16:56	PF00097.20	zf-C3HC4	Domain	CL0229	RING
17099	Q86UV6	zf-B_box	85:125	PF00643.19	zf-B_box	Domain	\N	\N
17100	A2RU49	APH	37:285	PF01636.18	APH	Family	CL0016	PKinase
17101	P60372	Keratin_B2_2	203:242	PF13885.1	Keratin_B2_2	Family	CL0520	Keratin_assoc
17102	P60372	Keratin_B2_2	250:290	PF13885.1	Keratin_B2_2	Family	CL0520	Keratin_assoc
17103	P60372	Keratin_B2_2	297:333	PF13885.1	Keratin_B2_2	Family	CL0520	Keratin_assoc
17104	P60372	Keratin_B2_2	339:384	PF13885.1	Keratin_B2_2	Family	CL0520	Keratin_assoc
17105	O14495	PAP2	131:275	PF01569.16	PAP2	Family	CL0525	pap2
17106	P36575	Arrestin_N	15:170	PF00339.24	Arrestin_N	Domain	CL0135	Arrestin_N-like
17107	P36575	Arrestin_C	192:353	PF02752.17	Arrestin_C	Domain	CL0135	Arrestin_N-like
17108	Q15274	QRPTase_N	34:112	PF02749.11	QRPTase_N	Domain	CL0105	Hybrid
17109	Q15274	QRPTase_C	114:284	PF01729.14	QRPTase_C	Domain	CL0036	TIM_barrel
17110	Q96M95	DUF4200	44:164	PF13863.1	DUF4200	Family	\N	\N
17111	P63130	Gag_p10	11:92	PF02337.12	Gag_p10	Family	CL0074	Matrix
17112	P63130	Gag_p24	312:526	PF00607.15	Gag_p24	Family	CL0148	Viral_Gag
17113	P63130	zf-CCHC	545:560	PF00098.18	zf-CCHC	Domain	CL0511	Retroviral_zf
17114	P63130	zf-CCHC_5	578:613	PF14787.1	zf-CCHC_5	Domain	CL0511	Retroviral_zf
17115	A0PK11	PMP22_Claudin	14:192	PF00822.15	PMP22_Claudin	Family	CL0375	Transporter
17116	O75081	TAFH	172:265	PF07531.9	TAFH	Family	\N	\N
17117	O75081	\NHR2	379:445	PF08788.6	\NHR2	Domain	\N	\N
17118	O75081	zf-MYND	556:592	PF01753.13	zf-MYND	Family	CL0175	TRASH
17119	Q16655	MLANA	2:118	PF14991.1	MLANA	Family	\N	\N
17120	Q8N104	Defensin_beta_2	25:54	PF13841.1	Defensin_beta_2	Family	CL0075	Defensin
17121	Q9C075	Filament	71:380	PF00038.16	Filament	Family	\N	\N
17122	Q5EE01	CENP-W	1:88	PF15510.1	CENP-W	Family	CL0012	Histone
17123	P08729	Filament	90:402	PF00038.16	Filament	Family	\N	\N
17124	Q86SP6	7tm_1	59:353	PF00001.16	7tm_1	Family	CL0192	GPCR_A
17125	Q8IZE3	Pkinase	36:236	PF00069.20	Pkinase	Domain	CL0016	PKinase
17126	P06737	Phosphorylase	112:830	PF00343.15	Phosphorylase	Family	CL0113	GT-B
17127	B1ANY3	FAM220	2:247	PF15487.1	FAM220	Family	\N	\N
17128	O43175	2-Hacid_dh_C	112:285	PF02826.14	2-Hacid_dh_C	Domain	CL0063	\NADP_Rossmann
17129	Q5BKY1	LRR_4	54:92	PF12799.2	LRR_4	Family	CL0022	LRR
17130	A0FGR8	C2	387:471	PF00168.25	C2	Domain	CL0154	C2
17131	A0FGR8	C2	544:611	PF00168.25	C2	Domain	CL0154	C2
17132	A0FGR8	C2	804:882	PF00168.25	C2	Domain	CL0154	C2
17133	Q86WU2	FAD_binding_4	66:202	PF01565.18	FAD_binding_4	Domain	CL0077	FAD_PCMH
17134	Q86WU2	FAD-oxidase_C	266:506	PF02913.14	FAD-oxidase_C	Domain	CL0277	FAD-oxidase_C
17135	Q9BZV1	PUB	166:260	PF09409.5	PUB	Domain	\N	\N
17136	Q9BZV1	UBX	333:409	PF00789.15	UBX	Domain	CL0072	Ubiquitin
17137	Q8NGP0	7tm_4	138:277	PF13853.1	7tm_4	Family	CL0192	GPCR_A
17138	O60381	AXH	215:339	PF08517.7	AXH	Family	\N	\N
17139	O60381	HMG_box	435:499	PF00505.14	HMG_box	Domain	CL0114	HMG-box
17140	Q8NFQ5	LBP_BPI_CETP	22:182	PF01273.20	LBP_BPI_CETP	Family	\N	\N
17141	Q8NFQ5	LBP_BPI_CETP_C	272:447	PF02886.12	LBP_BPI_CETP_C	Domain	\N	\N
17142	Q9P242	\NYAP_N	43:418	PF15439.1	\NYAP_N	Family	\N	\N
17143	P60709	Actin	3:375	PF00022.14	Actin	Family	CL0108	Actin_ATPase
17144	P62714	Metallophos	51:243	PF00149.23	Metallophos	Domain	CL0163	Calcineurin
17145	P59901	Ig_2	28:117	PF13895.1	Ig_2	Domain	CL0011	Ig
17146	P59901	Ig_3	122:197	PF13927.1	Ig_3	Domain	CL0011	Ig
17147	P59901	Ig_2	227:315	PF13895.1	Ig_2	Domain	CL0011	Ig
17148	P59901	Ig_3	323:398	PF13927.1	Ig_3	Domain	CL0011	Ig
17149	Q9NPF7	IL6	66:179	PF00489.12	IL6	Domain	CL0053	4H_Cytokine
17150	Q99463	7tm_1	56:276	PF00001.16	7tm_1	Family	CL0192	GPCR_A
17151	P23193	Med26	26:78	PF08711.6	Med26	Domain	\N	\N
17152	P23193	TFIIS_M	136:250	PF07500.9	TFIIS_M	Domain	\N	\N
17153	P23193	TFIIS_C	261:299	PF01096.13	TFIIS_C	Domain	CL0167	Zn_Beta_Ribbon
17154	Q9NUN7	Ceramidase	8:257	PF05875.7	Ceramidase	Family	\N	\N
17155	P59046	PYRIN	12:91	PF02758.11	PYRIN	Domain	CL0041	Death
17156	P59046	FISNA	128:201	PF14484.1	FISNA	Family	\N	\N
17157	P59046	\NACHT	211:381	PF05729.7	\NACHT	Domain	CL0023	P-loop_NTPase
17158	A5D6W6	Scs3p	76:264	PF10261.4	Scs3p	Family	\N	\N
17159	P49841	Pkinase	56:340	PF00069.20	Pkinase	Domain	CL0016	PKinase
17160	P57796	EF-hand_1	133:161	PF00036.27	EF-hand_1	Domain	CL0220	EF_hand
17161	P57796	EF-hand_7	212:269	PF13499.1	EF-hand_7	Domain	CL0220	EF_hand
17162	Q8NCL9	APCDDC	41:271	PF14921.1	APCDDC	Domain	\N	\N
17163	Q8NCL9	APCDDC	279:454	PF14921.1	APCDDC	Domain	\N	\N
17164	Q9H7V2	Dispanin	177:244	PF04505.7	Dispanin	Family	\N	\N
17165	Q08257	ADH_N	35:116	PF08240.7	ADH_N	Domain	CL0296	GroES
17166	Q08257	ADH_zinc_N	160:286	PF00107.21	ADH_zinc_N	Family	CL0063	\NADP_Rossmann
17167	Q9H2H9	Aa_trans	70:470	PF01490.13	Aa_trans	Family	CL0062	APC
17168	A8MU46	CH	345:444	PF00307.26	CH	Domain	CL0188	CH
17169	Q9H5N1	Rabaptin	58:163	PF03528.10	Rabaptin	Family	\N	\N
17170	Q9H5N1	Rabaptin	257:347	PF03528.10	Rabaptin	Family	\N	\N
17171	Q9H5N1	Rab5-bind	347:514	PF09311.6	Rab5-bind	Family	CL0020	TPR
17172	P61925	PKI	2:75	PF02827.11	PKI	Family	\N	\N
17173	Q9UMX0	ubiquitin	42:108	PF00240.18	ubiquitin	Domain	CL0072	Ubiquitin
17174	Q9UMX0	UBA	548:583	PF00627.26	UBA	Domain	CL0214	UBA
17175	Q9H6F2	TRIC	37:233	PF05197.8	TRIC	Family	\N	\N
17176	O43614	7tm_1	71:364	PF00001.16	7tm_1	Family	CL0192	GPCR_A
17177	O43614	Orexin_rec2	384:444	PF03827.8	Orexin_rec2	Family	\N	\N
17178	Q8N6M0	OTU	153:278	PF02338.14	OTU	Family	CL0125	Peptidase_CA
17179	P08240	SRP-alpha_N	27:301	PF04086.8	SRP-alpha_N	Family	\N	\N
17180	P08240	SRP54_N	321:393	PF02881.14	SRP54_N	Domain	\N	\N
17181	P08240	SRP54	419:636	PF00448.17	SRP54	Family	CL0023	P-loop_NTPase
17182	H3BS89	Claudin_2	16:267	PF13903.1	Claudin_2	Family	CL0375	Transporter
17183	P49711	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	280:305,309:333,337:360	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
17184	P49711	zf-H2C2_2+zf-H2C2_2	366:387,394:417	PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2	Domain,Domain	CL0361,CL0361	C2H2-zf,C2H2-zf
17185	P49711	zf-H2C2_2	513:533	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
17186	Q96CS4	KRAB	30:69	PF01352.22	KRAB	Family	\N	\N
17187	Q96CS4	zf-C2H2+zf-H2C2_2	177:199,219:243	PF00096.21,PF13465.1	zf-C2H2,zf-H2C2_2	Domain,Domain	CL0361,CL0361	C2H2-zf,C2H2-zf
17188	Q96CS4	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	248:272,276:299,303:328	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
17189	Q96CS4	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	332:355,360:383,388:412	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
17190	Q96CS4	zf-H2C2_2	416:439	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
17191	Q8NGS6	7tm_4	171:319	PF13853.1	7tm_4	Family	CL0192	GPCR_A
17192	Q8IYM1	Septin	47:319	PF00735.13	Septin	Family	CL0023	P-loop_NTPase
17193	Q8TA94	KRAB	4:42	PF01352.22	KRAB	Family	\N	\N
17194	Q8TA94	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	183:206,212:234,239:261	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
17195	Q8TA94	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	269:291,295:320,324:347	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
17196	Q8TA94	zf-H2C2_2+zf-H2C2_2	353:373,380:404	PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2	Domain,Domain	CL0361,CL0361	C2H2-zf,C2H2-zf
17197	Q8TA94	zf-H2C2_2	409:429	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
17198	Q86VE9	Serinc	11:416	PF03348.10	Serinc	Family	\N	\N
17199	Q9H845	Acyl-CoA_dh_N	68:173	PF02771.11	Acyl-CoA_dh_N	Domain	CL0544	AcylCoA_ox_dh_N
17200	Q9H845	Acyl-CoA_dh_M	177:229	PF02770.14	Acyl-CoA_dh_M	Domain	\N	\N
17201	Q9H845	Acyl-CoA_dh_1	290:437	PF00441.19	Acyl-CoA_dh_1	Domain	CL0087	Acyl-CoA_dh
17202	Q96DY7	MTBP_N	1:276	PF14918.1	MTBP_N	Family	\N	\N
17203	Q96DY7	MTBP_mid	294:632	PF14919.1	MTBP_mid	Family	\N	\N
17204	Q96DY7	MTBP_C	636:894	PF14920.1	MTBP_C	Family	\N	\N
17205	P78508	IRK	31:368	PF01007.15	IRK	Family	CL0030	Ion_channel
17206	Q53FD0	zf-C2HC_2	387:411	PF13913.1	zf-C2HC_2	Domain	CL0361	C2H2-zf
17207	Q8NHR9	Profilin	10:124	PF00235.14	Profilin	Domain	CL0431	PF
17208	P48681	Filament	8:155	PF00038.16	Filament	Family	\N	\N
17209	P48681	Filament	192:312	PF00038.16	Filament	Family	\N	\N
17210	P53007	Mito_carr	25:114	PF00153.22	Mito_carr	Family	\N	\N
17211	P53007	Mito_carr	122:211	PF00153.22	Mito_carr	Family	\N	\N
17212	P53007	Mito_carr	219:306	PF00153.22	Mito_carr	Family	\N	\N
17213	Q99742	HLH	52:96	PF00010.21	HLH	Domain	\N	\N
17214	Q99742	PAS	141:198	PF00989.19	PAS	Domain	CL0183	PAS_Fold
17215	Q99742	PAS_3	316:388	PF08447.6	PAS_3	Domain	CL0183	PAS_Fold
17216	O60423	E1-E2_ATPase	190:447	PF00122.15	E1-E2_ATPase	Family	\N	\N
17217	O60423	HAD	492:948	PF12710.2	HAD	Family	CL0137	HAD
17218	O94819	BTB	140:225	PF00651.26	BTB	Domain	CL0033	POZ
17219	O94819	Kelch_1	349:398,402:442	PF01344.20,PF01344.20	Kelch_1,Kelch_1	Repeat,Repeat	CL0186,CL0186	Beta_propeller,Beta_propeller
17220	P01604	V-set	2:104	PF07686.12	V-set	Domain	CL0011	Ig
17221	Q9NQV7	KRAB	28:62	PF01352.22	KRAB	Family	\N	\N
17222	Q9NQV7	SSXRD	170:202	PF09514.5	SSXRD	Motif	\N	\N
17223	Q9NQV7	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	542:562,566:590,595:618	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
17224	Q9NQV7	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	623:646,651:674,679:702	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
17225	Q9NQV7	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	707:731,734:757,762:785	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
17226	Q9NQV7	zf-H2C2_2+zf-H2C2_2	790:815,818:843	PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2	Domain,Domain	CL0361,CL0361	C2H2-zf,C2H2-zf
17227	Q9NQV7	zf-H2C2_2	846:870	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
17228	P0DJH9	RD3	4:133	PF14473.1	RD3	Family	\N	\N
17229	Q92738	RabGAP-TBC	104:312	PF00566.13	RabGAP-TBC	Family	\N	\N
17230	Q5SNT6	CAP-ZIP_m	856:993	PF15255.1	CAP-ZIP_m	Family	\N	\N
17231	Q9ULJ6	zf-MIZ	738:786	PF02891.15	zf-MIZ	Domain	CL0229	RING
17232	Q9P0K8	Fork_head	66:144	PF00250.13	Fork_head	Domain	\N	\N
17233	Q9NZB8	Radical_SAM+Mob_synth_C	75:235,241:367	PF04055.16,PF06463.8	Radical_SAM,Mob_synth_C	Domain,Domain	\N	\N
17234	Q9NZB8	MoaC	493:628	PF01967.16	MoaC	Family	\N	\N
17235	Q9H2G4	\NAP	216:398	PF00956.13	\NAP	Family	\N	\N
17236	P38405	G-alpha	17:370	PF00503.15	G-alpha	Domain	CL0023	P-loop_NTPase
17237	P23771	GATA	263:296	PF00320.22	GATA	Domain	CL0167	Zn_Beta_Ribbon
17238	P23771	GATA	317:349	PF00320.22	GATA	Domain	CL0167	Zn_Beta_Ribbon
17239	Q96G75	CLTH	156:299	PF10607.4	CLTH	Domain	\N	\N
17240	Q96G75	zf-RING_UBOX	338:377	PF13445.1	zf-RING_UBOX	Domain	CL0229	RING
17241	P01303	Hormone_3	29:64	PF00159.13	Hormone_3	Family	\N	\N
17242	Q8IWQ3	Pkinase	19:269	PF00069.20	Pkinase	Domain	CL0016	PKinase
17243	Q9NSA2	Shal-type	3:31	PF11601.3	Shal-type	Family	\N	\N
17244	Q9NSA2	BTB_2	43:131	PF02214.17	BTB_2	Domain	CL0033	POZ
17245	Q9NSA2	Ion_trans	233:407	PF00520.26	Ion_trans	Family	CL0030	Ion_channel
17246	Q9NSA2	DUF3399	447:550	PF11879.3	DUF3399	Family	\N	\N
17247	Q8N680	BTB	14:103	PF00651.26	BTB	Domain	CL0033	POZ
17248	Q8N680	zf-H2C2_2	378:399	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
17249	Q9NQR7	DUF4659	333:707	PF15558.1	DUF4659	Family	\N	\N
17250	P49459	UQ_con	8:143	PF00179.21	UQ_con	Domain	CL0208	UBC
17251	Q9H1Q7	PC-Esterase	22:267	PF13839.1	PC-Esterase	Family	CL0264	SGNH_hydrolase
17252	Q8IV03	LURAP	80:196	PF14854.1	LURAP	Family	\N	\N
17253	Q9H081	Mis12	8:154	PF05859.7	Mis12	Family	\N	\N
17254	A6NN73	GOLGA2L5	218:391	PF15070.1	GOLGA2L5	Family	\N	\N
17255	A6NN73	GOLGA2L5	505:588	PF15070.1	GOLGA2L5	Family	\N	\N
17256	Q96SU4	PH	4:97	PF00169.24	PH	Domain	CL0266	PH
17257	Q96SU4	Oxysterol_BP	375:717	PF01237.13	Oxysterol_BP	Family	\N	\N
17258	Q9UMS4	U-box	3:54	PF04564.10	U-box	Domain	CL0229	RING
17259	Q9UMS4	Prp19	67:134	PF08606.6	Prp19	Domain	\N	\N
17260	Q9UMS4	WD40	256:292,297:327,384:420	PF00400.27,PF00400.27,PF00400.27	WD40,WD40,WD40	Repeat,Repeat,Repeat	CL0186,CL0186,CL0186	Beta_propeller,Beta_propeller,Beta_propeller
17261	Q86UA6	RPA_interact_N	7:48	PF14766.1	RPA_interact_N	Family	\N	\N
17262	Q86UA6	RPA_interact_M	60:127	PF14767.1	RPA_interact_M	Family	\N	\N
17263	Q86UA6	RPA_interact_C	136:218	PF14768.1	RPA_interact_C	Family	\N	\N
17264	Q2M238	RRN3	3:144	PF05327.6	RRN3	Family	\N	\N
17265	Q5T5A4	DUF3695	29:129	PF12494.3	DUF3695	Family	\N	\N
17266	Q969M1	Porin_3	26:302	PF01459.17	Porin_3	Family	\N	\N
17267	Q01831	Rad4	501:625	PF03835.10	Rad4	Domain	CL0125	Peptidase_CA
17268	Q01831	BHD_1	631:682	PF10403.4	BHD_1	Domain	\N	\N
17269	Q01831	BHD_2	684:744	PF10404.4	BHD_2	Domain	\N	\N
17270	Q01831	BHD_3	751:825	PF10405.4	BHD_3	Domain	\N	\N
17271	Q0D2H9	GOLGA2L5	21:164	PF15070.1	GOLGA2L5	Family	\N	\N
17272	Q0D2H9	GOLGA2L5	175:259	PF15070.1	GOLGA2L5	Family	\N	\N
17273	Q0D2H9	GOLGA2L5	338:421	PF15070.1	GOLGA2L5	Family	\N	\N
17274	P0CG23	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	499:523,527:551,555:579	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
17275	P0CG23	zf-H2C2_2	583:608	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
17276	Q9UJ68	PMSR	67:220	PF01625.16	PMSR	Family	\N	\N
17277	Q13255	ANF_receptor	77:483	PF01094.23	ANF_receptor	Family	CL0144	Periplas_BP
17278	Q13255	\NCD3G	521:571	PF07562.9	\NCD3G	Family	\N	\N
17279	Q13255	7tm_3	602:838	PF00003.17	7tm_3	Family	\N	\N
17280	Q13255	GluR_Homer-bdg	1144:1194	PF10606.4	GluR_Homer-bdg	Domain	\N	\N
17281	Q8NAN2	DUF2217	59:603	PF10265.4	DUF2217	Family	\N	\N
17282	Q7Z5A7	TAFA	42:131	PF12020.3	TAFA	Family	\N	\N
17283	P36269	G_glu_transpept	59:581	PF01019.16	G_glu_transpept	Family	CL0052	\NTN
17284	O75170	SAPS	129:360	PF04499.10	SAPS	Family	\N	\N
17285	O75170	SAPS	361:531	PF04499.10	SAPS	Family	\N	\N
17286	O75037	Kinesin	14:370	PF00225.18	Kinesin	Domain	CL0023	P-loop_NTPase
17287	O75037	WD40	1300:1334,1539:1573,1579:1613	PF00400.27,PF00400.27,PF00400.27	WD40,WD40,WD40	Repeat,Repeat,Repeat	CL0186,CL0186,CL0186	Beta_propeller,Beta_propeller,Beta_propeller
17288	Q9NYK1	LRR_8	275:324	PF13855.1	LRR_8	Repeat	CL0022	LRR
17289	Q9NYK1	LRR_8	496:554	PF13855.1	LRR_8	Repeat	CL0022	LRR
17290	Q9NYK1	LRR_8	675:735	PF13855.1	LRR_8	Repeat	CL0022	LRR
17291	Q9NYK1	TIR	893:1027	PF01582.15	TIR	Family	CL0173	STIR
17292	Q8NES3	Fringe	110:358	PF02434.11	Fringe	Family	CL0110	GT-A
17293	P06889	V-set	3:104	PF07686.12	V-set	Domain	CL0011	Ig
17294	A6NCN8	DUF4532	25:303	PF15046.1	DUF4532	Family	\N	\N
17295	Q99835	Fz	70:176	PF01392.17	Fz	Family	\N	\N
17296	Q99835	Frizzled	220:554	PF01534.12	Frizzled	Family	CL0192	GPCR_A
17297	Q9BWQ8	Bax1-I	101:311	PF01027.15	Bax1-I	Family	CL0453	Apoptosis-Inhib
17298	A8MWK0	Cyt-b5	59:131	PF00173.23	Cyt-b5	Domain	\N	\N
17299	A8MWK0	FA_desaturase	194:454	PF00487.19	FA_desaturase	Domain	\N	\N
17300	P49448	ELFV_dehydrog_N	113:241	PF02812.13	ELFV_dehydrog_N	Domain	\N	\N
17301	P49448	ELFV_dehydrog	263:455	PF00208.16	ELFV_dehydrog	Domain	CL0063	\NADP_Rossmann
17302	P17568	\NDUF_B7	38:103	PF05676.8	\NDUF_B7	Family	CL0351	CHCH
17303	P06865	Glycohydro_20b2	23:145	PF14845.1	Glycohydro_20b2	Domain	CL0546	Hexosaminidase
17304	P06865	Glyco_hydro_20	167:487	PF00728.17	Glyco_hydro_20	Domain	CL0058	Glyco_hydro_tim
17305	P58340	Mlf1IP	26:203	PF10248.4	Mlf1IP	Family	\N	\N
17306	Q9P244	LRR_8	67:125	PF13855.1	LRR_8	Repeat	CL0022	LRR
17307	Q9P244	LRR_8	163:222	PF13855.1	LRR_8	Repeat	CL0022	LRR
17308	Q9P244	I-set	309:387	PF07679.11	I-set	Domain	CL0011	Ig
17309	Q9P244	fn3	427:500	PF00041.16	fn3	Domain	CL0159	E-set
17310	Q96EY9	dCMP_cyt_deam_1	174:309	PF00383.17	dCMP_cyt_deam_1	Family	CL0109	CDA
17311	Q8N7X0	Peptidase_C2	194:312	PF00648.16	Peptidase_C2	Family	CL0125	Peptidase_CA
17312	P57086	SCAN	104:166	PF02023.12	SCAN	Family	\N	\N
17313	P48147	Peptidase_S9_N	7:422	PF02897.10	Peptidase_S9_N	Domain	CL0186	Beta_propeller
17314	P48147	Peptidase_S9	483:706	PF00326.16	Peptidase_S9	Family	CL0028	AB_hydrolase
17315	Q9BTD3	CECR6_TMEM121	73:267	PF14997.1	CECR6_TMEM121	Family	\N	\N
17316	Q8NCA5	DUF2465	10:329	PF10239.4	DUF2465	Family	\N	\N
17317	P04114	Vitellogenin_N	46:597	PF01347.17	Vitellogenin_N	Family	CL0020	TPR
17318	P04114	DUF1943	632:943	PF09172.6	DUF1943	Domain	\N	\N
17319	P04114	DUF1081	958:1071	PF06448.6	DUF1081	Family	\N	\N
17320	P04114	ApoB100_C	4494:4550	PF12491.3	ApoB100_C	Family	\N	\N
17321	Q8NEZ5	F-box	28:63	PF00646.28	F-box	Domain	CL0271	F-box
17322	Q8NEZ5	FIST_C	298:365	PF10442.4	FIST_C	Domain	\N	\N
17323	O75317	UCH	38:366	PF00443.24	UCH	Family	CL0125	Peptidase_CA
17324	Q14934	RHD	419:578	PF00554.17	RHD	Domain	CL0073	P53-like
17325	Q14934	TIG	586:682	PF01833.19	TIG	Domain	CL0159	E-set
17326	O75943	Rad17	84:593	PF03215.10	Rad17	Family	CL0023	P-loop_NTPase
17327	P00519	SH3_1	67:113	PF00018.23	SH3_1	Domain	CL0010	SH3
17328	P00519	SH2	127:202	PF00017.19	SH2	Domain	CL0541	SH2-like
17329	P00519	Pkinase_Tyr	242:492	PF07714.12	Pkinase_Tyr	Domain	CL0016	PKinase
17330	P00519	F_actin_bind	1024:1130	PF08919.5	F_actin_bind	Domain	\N	\N
17331	Q8N1C3	\Neur_chan_LBD	65:269	PF02931.18	\Neur_chan_LBD	Family	\N	\N
17332	Q8N1C3	\Neur_chan_memb	277:374	PF02932.11	\Neur_chan_memb	Family	\N	\N
17333	Q01844	RRM_6	363:441	PF14259.1	RRM_6	Domain	CL0221	RRM
17334	Q01844	zf-RanBP	518:548	PF00641.13	zf-RanBP	Domain	CL0167	Zn_Beta_Ribbon
17335	Q96T68	MBD	164:228	PF01429.14	MBD	Domain	CL0081	MBD-like
17336	Q96T68	Pre-SET	245:359	PF05033.11	Pre-SET	Motif	\N	\N
17337	Q96T68	SET	378:694	PF00856.23	SET	Family	\N	\N
17338	Q8IUZ0	LRR_4	113:153	PF12799.2	LRR_4	Family	CL0022	LRR
17339	Q8IUZ0	LRR_9	183:319	PF14580.1	LRR_9	Repeat	CL0022	LRR
17340	Q96QK1	Vps35	14:753	PF03635.12	Vps35	Family	\N	\N
17341	O96009	Asp	77:399	PF00026.18	Asp	Family	CL0129	Peptidase_AA
